epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,320.937,0.89309,0.79136,1.01652,0.99242,0.96053,0.99135,0.78128,0.80899,0.64681,1.05949,0.000511769,0.000511769,0.000511769
58,326.33,0.90569,0.79472,0.9957,0.97825,0.97322,0.99139,0.78839,0.78587,0.64164,1.05021,0.00049114,0.00049114,0.00049114
59,331.686,0.86054,0.79948,1.01524,0.97785,0.97266,0.99171,0.79672,0.7418,0.64473,1.03919,0.000470511,0.000470511,0.000470511
60,338.54,0.89176,0.76331,1.02081,0.9777,0.96053,0.99003,0.79949,0.72163,0.63697,1.03326,0.000449882,0.000449882,0.000449882
61,345.111,0.86916,0.78613,1.02209,0.9777,0.96053,0.99003,0.79949,0.72163,0.63697,1.03326,0.000429253,0.000429253,0.000429253
62,350.524,0.87052,0.7844,1.03028,0.98055,0.96937,0.99078,0.80844,0.72427,0.61699,1.03148,0.000408623,0.000408623,0.000408623
63,356.738,0.87305,0.77407,1.01498,0.98137,0.9704,0.99164,0.80218,0.73011,0.62219,1.02933,0.000387994,0.000387994,0.000387994
64,362.521,0.80901,0.78125,1.02776,0.99454,0.969,0.99198,0.79916,0.73633,0.62576,1.02828,0.000367365,0.000367365,0.000367365
65,368.688,0.81517,0.74782,0.98886,0.99051,0.97309,0.99287,0.79712,0.74338,0.63446,1.02394,0.000346736,0.000346736,0.000346736
66,374.787,0.84559,0.76018,0.98118,0.99051,0.97309,0.99287,0.79712,0.74338,0.63446,1.02394,0.000326107,0.000326107,0.000326107
67,380.233,0.82558,0.73773,0.97259,0.98522,0.97368,0.99249,0.80062,0.73997,0.63125,1.01863,0.000305478,0.000305478,0.000305478
68,387.121,0.86137,0.74483,1.01009,0.98426,0.97368,0.99344,0.80076,0.73547,0.62788,1.01706,0.000284849,0.000284849,0.000284849
69,392.464,0.75301,0.71312,0.99587,0.97822,0.98503,0.99384,0.80061,0.73857,0.6224,1.0192,0.00026422,0.00026422,0.00026422
70,397.521,0.7571,0.73346,0.97362,0.98012,0.98479,0.99384,0.79924,0.73578,0.61668,1.02085,0.00024359,0.00024359,0.00024359
71,421.929,0.70916,0.80312,0.97774,0.98012,0.98479,0.99384,0.79924,0.73578,0.61668,1.02085,0.000222961,0.000222961,0.000222961
72,428.292,0.61483,0.74776,0.94559,0.98783,0.97918,0.99427,0.79668,0.73816,0.61942,1.02498,0.000202332,0.000202332,0.000202332
73,434.486,0.65008,0.73787,0.94389,0.98831,0.97793,0.99405,0.79767,0.74541,0.63028,1.03065,0.000181703,0.000181703,0.000181703
74,441.511,0.65906,0.7542,0.96259,0.98825,0.97732,0.99474,0.79669,0.74753,0.63453,1.03026,0.000161074,0.000161074,0.000161074
75,449.424,0.64173,0.72931,0.91775,0.98911,0.97276,0.99375,0.79455,0.74332,0.62916,1.02898,0.000140445,0.000140445,0.000140445
76,454.175,0.60764,0.69172,0.89392,0.98933,0.97255,0.9935,0.80049,0.73482,0.63568,1.02782,0.000119816,0.000119816,0.000119816
77,459.281,0.6189,0.69972,0.92501,0.98933,0.97255,0.9935,0.80049,0.73482,0.63568,1.02782,9.91865e-05,9.91865e-05,9.91865e-05
78,465.621,0.63976,0.7135,0.92752,0.98969,0.97284,0.9935,0.80169,0.72779,0.62908,1.02407,7.85574e-05,7.85574e-05,7.85574e-05
79,471.056,0.61247,0.67641,0.90468,0.98949,0.97235,0.99317,0.79805,0.7226,0.62951,1.0216,5.79283e-05,5.79283e-05,5.79283e-05
80,475.954,0.61276,0.68252,0.91946,0.98915,0.97243,0.9935,0.79908,0.71698,0.62967,1.02123,3.72991e-05,3.72991e-05,3.72991e-05
