epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,3793.01,0.34823,0.59296,0.27219,0.82565,0.91926,0.90505,0.9257,0.67611,0.82801,0.87846,0.86372,0.48305,0.94078,1.31363,0.58146,1.3096,0.000121853,0.000121853,0.000121853
45,3846.36,0.35354,0.60204,0.27211,0.82942,0.89092,0.90964,0.93185,0.68959,0.85876,0.80307,0.83396,0.48135,0.91085,1.36508,0.54465,1.31099,0.000118779,0.000118779,0.000118779
46,3899.66,0.34747,0.59412,0.27042,0.83161,0.90274,0.89808,0.93107,0.68625,0.83492,0.82042,0.82665,0.44792,0.92148,1.39022,0.59626,1.30278,0.000115686,0.000115686,0.000115686
47,4123.12,0.34862,0.60862,0.27014,0.82794,0.89036,0.92034,0.92819,0.67692,0.89111,0.79645,0.83389,0.45404,0.93767,1.33567,0.61015,1.29321,0.000112577,0.000112577,0.000112577
48,4205.65,0.35282,0.59764,0.27328,0.82435,0.92148,0.91593,0.93077,0.66806,0.82973,0.80195,0.80672,0.45234,0.94703,1.32945,0.58135,1.30335,0.000109456,0.000109456,0.000109456
49,4258.66,0.33799,0.57961,0.25971,0.82678,0.889,0.90124,0.92282,0.67286,0.86093,0.80523,0.82351,0.45627,0.95567,1.3866,0.58788,1.32615,0.000106326,0.000106326,0.000106326
50,4382.63,0.32477,0.56425,0.25571,0.82495,0.92896,0.86479,0.92824,0.67536,0.8762,0.81976,0.83862,0.4691,0.93274,1.35589,0.57628,1.31957,0.00010319,0.00010319,0.00010319
51,4437.21,0.31788,0.57868,0.25241,0.82067,0.93319,0.90035,0.93155,0.67524,0.87123,0.81594,0.83857,0.47722,0.92307,1.35557,0.57641,1.32705,0.00010005,0.00010005,0.00010005
52,4502.35,0.31863,0.55671,0.24974,0.81804,0.90529,0.89598,0.92557,0.67482,0.8797,0.80609,0.84518,0.47141,0.96112,1.35928,0.5763,1.34161,9.69105e-05,9.69105e-05,9.69105e-05
53,4558.87,0.31623,0.55903,0.24677,0.81848,0.90399,0.8901,0.91633,0.68048,0.88077,0.84442,0.85493,0.4982,0.93013,1.35477,0.59652,1.32279,9.37741e-05,9.37741e-05,9.37741e-05
54,4729.88,0.31796,0.55604,0.24539,0.81359,0.89268,0.8824,0.92183,0.67855,0.8131,0.82095,0.81963,0.46747,0.94605,1.37339,0.60788,1.33813,9.06439e-05,9.06439e-05,9.06439e-05
55,4782.62,0.31055,0.53507,0.24328,0.82172,0.88355,0.90519,0.92374,0.67991,0.83134,0.84465,0.82813,0.46246,0.94911,1.35742,0.61212,1.35314,8.75229e-05,8.75229e-05,8.75229e-05
56,4992.29,0.30722,0.55406,0.24028,0.81348,0.93086,0.88397,0.93209,0.68865,0.84878,0.81624,0.82683,0.47711,0.92015,1.36039,0.6067,1.33257,8.44144e-05,8.44144e-05,8.44144e-05
57,5125.68,0.30986,0.5336,0.24236,0.8217,0.89146,0.92215,0.92551,0.66238,0.8637,0.86483,0.86426,0.47919,0.94336,1.37127,0.59265,1.34771,8.13212e-05,8.13212e-05,8.13212e-05
58,5193.29,0.31478,0.54526,0.24321,0.81706,0.91612,0.90384,0.92875,0.68342,0.86559,0.88965,0.87632,0.49443,0.94898,1.39378,0.59572,1.34999,7.82466e-05,7.82466e-05,7.82466e-05
59,5297.33,0.30007,0.53434,0.23713,0.81248,0.91785,0.92465,0.93795,0.6791,0.86112,0.86912,0.85485,0.49259,0.93455,1.38089,0.60774,1.33717,7.51934e-05,7.51934e-05,7.51934e-05
60,5458.05,0.30182,0.52385,0.23319,0.81946,0.90921,0.91488,0.93724,0.67949,0.84397,0.84924,0.85619,0.49175,0.89934,1.37784,0.59288,1.32263,7.21648e-05,7.21648e-05,7.21648e-05
61,5535.68,0.30102,0.52532,0.23565,0.81251,0.92278,0.88874,0.93526,0.67618,0.84586,0.81772,0.84569,0.48632,0.92039,1.40627,0.59321,1.33519,6.91638e-05,6.91638e-05,6.91638e-05
62,5588.71,0.28769,0.50762,0.22762,0.81237,0.90128,0.92308,0.93779,0.67824,0.83191,0.85275,0.85013,0.4965,0.94575,1.40462,0.61873,1.36229,6.61931e-05,6.61931e-05,6.61931e-05
63,5707.65,0.28658,0.51713,0.22527,0.8167,0.93543,0.873,0.93352,0.67299,0.86549,0.82438,0.84968,0.48675,0.94688,1.42845,0.62281,1.35383,6.3256e-05,6.3256e-05,6.3256e-05
64,5768.07,0.27933,0.51739,0.22314,0.81909,0.91331,0.89155,0.93091,0.68432,0.85183,0.83327,0.84014,0.49095,0.92796,1.38946,0.61366,1.34872,6.03551e-05,6.03551e-05,6.03551e-05
65,5976.43,0.27635,0.51125,0.22575,0.80955,0.92584,0.89032,0.93044,0.68595,0.84147,0.86171,0.84603,0.48798,0.94641,1.388,0.62537,1.36984,5.74934e-05,5.74934e-05,5.74934e-05
66,6013.43,0.27026,0.48842,0.21963,0.81128,0.92495,0.88989,0.93152,0.68736,0.8653,0.8045,0.82687,0.47215,0.92962,1.42503,0.6005,1.35108,5.46736e-05,5.46736e-05,5.46736e-05
67,6066.09,0.26562,0.49888,0.21335,0.80919,0.8975,0.90467,0.93214,0.68534,0.84441,0.83678,0.83274,0.48239,0.9228,1.42684,0.62567,1.34492,5.18987e-05,5.18987e-05,5.18987e-05
68,6119.16,0.26795,0.48301,0.21817,0.81638,0.91127,0.91196,0.93025,0.6848,0.88489,0.81112,0.83962,0.47704,0.91961,1.43329,0.60766,1.33254,4.91713e-05,4.91713e-05,4.91713e-05
69,6220.99,0.26246,0.4775,0.21467,0.81263,0.91668,0.91175,0.93109,0.69531,0.85181,0.81325,0.82972,0.48364,0.90004,1.45219,0.61139,1.30068,4.64941e-05,4.64941e-05,4.64941e-05
70,6269,0.26377,0.48989,0.21171,0.80769,0.93424,0.90843,0.93266,0.69116,0.85789,0.84563,0.84513,0.48812,0.9103,1.45283,0.6321,1.32036,4.38698e-05,4.38698e-05,4.38698e-05
71,6321.6,0.26106,0.49021,0.20724,0.80836,0.90824,0.90532,0.93027,0.68823,0.84031,0.8427,0.83095,0.47234,0.90529,1.46455,0.63908,1.34838,4.13009e-05,4.13009e-05,4.13009e-05
