page_index;object_index;class_name;confidence;x1;y1;x2;y2
3;10;seeding;0.747546;1265;251;1423;1230
3;10;flower;0.917172;1275;261;1409;401
3;10;stem;0.744676;1312;645;1348;1223
3;10;stem;0.707309;1329;404;1346;644
3;10;root;0.373894;1316;645;1349;1225
3;11;seeding;0.739502;2929;288;3108;1341
3;11;stem;0.715345;3020;631;3073;1314
3;12;seeding;0.724181;1875;294;2034;1504
3;12;root;0.930094;1902;845;1996;1492
3;12;flower;0.879554;1900;321;1997;480
3;12;root;0.445104;1952;638;1973;841
3;12;stem;0.288316;1948;479;1972;858
3;13;seeding;0.723920;361;171;505;1239
3;13;flower;0.918810;384;192;504;336
3;13;stem;0.616231;437;336;455;600
3;13;root;0.270205;424;634;481;1129
3;14;seeding;0.715280;1721;166;1875;1074
3;14;stem;0.869564;1779;344;1820;629
3;14;flower;0.861387;1721;171;1811;344
3;14;root;0.435668;1811;619;1861;1069
3;15;seeding;0.712636;1024;299;1208;1184
3;15;stem;0.514077;1036;631;1100;1148
3;15;flower;0.412390;1037;301;1207;624
3;16;seeding;0.704728;2778;212;2924;1300
3;16;flower;0.903401;2810;223;2920;378
3;16;stem;0.696553;2805;376;2825;629
3;16;root;0.693069;2780;626;2847;1280
3;17;seeding;0.702182;279;1400;460;2210
3;17;root;0.879123;303;1915;455;2194
3;17;flower;0.854597;338;1403;455;1559
3;17;stem;0.725334;378;1558;395;1770
3;17;root;0.413780;302;1769;459;2196
3;17;root;0.376144;373;1769;395;1915
3;18;seeding;0.685835;218;205;377;1253
3;18;flower;0.935154;225;205;363;378
3;18;stem;0.827572;275;378;300;628
3;18;root;0.462353;244;625;290;838
3;19;seeding;0.673425;725;1562;863;1888
3;20;seeding;0.662485;626;210;765;1178
3;20;flower;0.902788;639;222;763;360
3;20;stem;0.675799;674;365;689;648
3;20;root;0.468045;675;643;704;1149
3;21;seeding;0.642357;1631;245;1756;1061
3;21;flower;0.897891;1650;246;1720;400
3;21;root;0.878656;1646;773;1734;1032
3;21;stem;0.779132;1674;402;1700;682
3;22;seeding;0.635768;899;278;1035;1224
3;23;seeding;0.628262;32;1444;149;2220
3;23;stem;0.864460;32;1469;117;1769
3;24;seeding;0.511668;1451;257;1567;1270
3;25;seeding;0.471803;762;227;911;1256
3;25;flower;0.925729;796;227;910;387
3;25;stem;0.850047;812;386;831;646
3;25;root;0.813033;786;635;891;1255
4;0;seeding;0.922107;786;198;951;979
4;0;flower;0.948962;796;211;937;370
4;0;stem;0.720784;827;442;874;939
4;0;stem;0.709354;864;371;877;695
4;1;seeding;0.857059;100;159;235;612
4;1;stem;0.935883;147;325;172;605
4;1;flower;0.902879;114;173;223;326
4;1;stem;0.711246;148;322;164;603
4;2;seeding;0.850563;2139;2042;3018;2242
4;2;root;0.808455;2182;2070;2601;2221
4;3;seeding;0.836887;2070;1778;2990;1932
4;3;root;0.336806;2099;1804;2569;1915
4;3;root;0.258243;2807;1784;2970;1917
4;4;seeding;0.830286;1883;262;2024;917
4;4;stem;0.794500;1883;264;2002;588
4;5;seeding;0.821651;2962;315;3080;887
4;5;flower;0.918891;2974;319;3080;472
4;5;stem;0.859552;2998;474;3025;602
4;6;seeding;0.818213;1565;434;1690;918
4;6;stem;0.789430;1632;583;1650;900
4;7;seeding;0.817143;2039;214;2131;832
4;7;stem;0.792411;2083;335;2107;654
4;7;flower;0.721053;2057;218;2116;336
4;7;stem;0.634528;2089;336;2108;655
4;7;root;0.564462;2078;653;2100;788
4;8;seeding;0.814913;1442;417;1554;1154
4;8;stem;0.421428;1505;681;1535;1116
4;8;stem;0.329725;1494;535;1519;892
4;9;seeding;0.807024;484;1810;1566;2005
